,id,lat,lon,slno,closest_coords
0,0,37.22056336,-80.42448931,0,['GH010041.MP4-moviepy-20240508_115522/frame_1686338244_37.2205397_-80.4244841.jpg']
1,1,37.23074385,-80.41881692,1,[None]
2,2,37.22916106,-80.42940557,2,[None]
3,3,37.22822859,-80.41659351,3,[None]
4,4,37.2300629,-80.41841642,4,['GH030041.MP4-moviepy-20240508_123536/frame_1686339109_37.2299431_-80.4182916.jpg']
5,5,37.22832432,-80.41720272,5,[None]
6,6,37.22374757,-80.41744584,6,[None]
7,7,37.22992451,-80.42286525,7,[None]
8,8,37.23306144,-80.42383423,8,[None]
9,9,37.22736305,-80.41884247,9,['GH100041.MP4-moviepy-20240508_144629/frame_1686342615_37.2273811_-80.418872.jpg']
10,10,37.23097108,-80.42184451,10,['GH040042.MP4-moviepy-20240508_130828/frame_1686345562_37.2310154_-80.421943.jpg']
11,11,37.23028659,-80.42127766,11,['GH020042.MP4-moviepy-20240508_122528/frame_1686344512_37.2302766_-80.4210994.jpg']
12,12,37.22697843,-80.41924957,12,['GH020041.MP4-moviepy-20240508_121516/frame_1686338654_37.2271532_-80.419266.jpg']
13,13,37.22910295,-80.42015586,13,['GH010042.MP4-moviepy-20240508_120507/frame_1686344185_37.2291193_-80.4201337.jpg']
14,14,37.22071148,-80.42170319,14,[None]
15,15,37.22084885,-80.41843108,15,[None]
16,16,37.22393592,-80.43878219,16,[None]
17,17,37.22547621,-80.42323881,17,['GH090041.MP4-moviepy-20240508_143554/frame_1686342366_37.2255149_-80.4232753.jpg']
18,18,37.2293709,-80.42295384,18,['GH040042.MP4-moviepy-20240508_130828/frame_1686345637_37.2293205_-80.4229034.jpg']
19,19,37.21441451,-80.42399346,19,[None]
20,20,37.22563572,-80.42403285,20,[None]
21,21,37.22795453,-80.41939128,21,[None]
22,22,37.22575955,-80.42084915,22,[None]
23,23,37.22397144,-80.41991494,23,[None]
24,24,37.22579981,-80.41825573,24,['GH100041.MP4-moviepy-20240508_144629/frame_1686342756_37.2257964_-80.4182554.jpg']
25,25,37.22417948,-80.42021543,25,[None]
26,26,37.23019505,-80.4218293,26,[None]
